Comunidades  autónomas	Gastos y duración media de los viajes	Tipo de dato	Periodo	Total
01 Andalucía	Gasto medio por persona	Dato base	2025M10	1.425
01 Andalucía	Gasto medio por persona	Dato base	2025M09	1.376
01 Andalucía	Gasto medio por persona	Dato base	2025M08	1.381
01 Andalucía	Gasto medio por persona	Dato base	2025M07	1.417
01 Andalucía	Gasto medio por persona	Dato base	2025M06	1.341
01 Andalucía	Gasto medio por persona	Dato base	2025M05	1.310
01 Andalucía	Gasto medio por persona	Dato base	2025M04	1.236
01 Andalucía	Gasto medio por persona	Dato base	2025M03	1.510
01 Andalucía	Gasto medio por persona	Dato base	2025M02	1.332
01 Andalucía	Gasto medio por persona	Dato base	2025M01	1.427
01 Andalucía	Gasto medio por persona	Dato base	2024M12	1.476
01 Andalucía	Gasto medio por persona	Dato base	2024M11	1.492
01 Andalucía	Gasto medio por persona	Dato base	2024M10	1.350
01 Andalucía	Gasto medio por persona	Dato base	2024M09	1.322
01 Andalucía	Gasto medio por persona	Dato base	2024M08	1.427
01 Andalucía	Gasto medio por persona	Dato base	2024M07	1.388
01 Andalucía	Gasto medio por persona	Dato base	2024M06	1.280
01 Andalucía	Gasto medio por persona	Dato base	2024M05	1.274
01 Andalucía	Gasto medio por persona	Dato base	2024M04	1.218
01 Andalucía	Gasto medio por persona	Dato base	2024M03	1.520
01 Andalucía	Gasto medio por persona	Dato base	2024M02	1.342
01 Andalucía	Gasto medio por persona	Dato base	2024M01	1.351
01 Andalucía	Gasto medio por persona	Dato base	2023M12	1.412
01 Andalucía	Gasto medio por persona	Dato base	2023M11	1.287
01 Andalucía	Gasto medio por persona	Dato base	2023M10	1.212
01 Andalucía	Gasto medio por persona	Dato base	2023M09	1.250
01 Andalucía	Gasto medio por persona	Dato base	2023M08	1.347
01 Andalucía	Gasto medio por persona	Dato base	2023M07	1.371
01 Andalucía	Gasto medio por persona	Dato base	2023M06	1.232
01 Andalucía	Gasto medio por persona	Dato base	2023M05	1.180
01 Andalucía	Gasto medio por persona	Dato base	2023M04	1.152
01 Andalucía	Gasto medio por persona	Dato base	2023M03	1.235
01 Andalucía	Gasto medio por persona	Dato base	2023M02	1.180
01 Andalucía	Gasto medio por persona	Dato base	2023M01	1.188
01 Andalucía	Gasto medio por persona	Dato base	2022M12	1.336
01 Andalucía	Gasto medio por persona	Dato base	2022M11	1.266
01 Andalucía	Gasto medio por persona	Dato base	2022M10	1.181
01 Andalucía	Gasto medio por persona	Dato base	2022M09	1.098
01 Andalucía	Gasto medio por persona	Dato base	2022M08	1.306
01 Andalucía	Gasto medio por persona	Dato base	2022M07	1.323
01 Andalucía	Gasto medio por persona	Dato base	2022M06	1.167
01 Andalucía	Gasto medio por persona	Dato base	2022M05	1.105
01 Andalucía	Gasto medio por persona	Dato base	2022M04	1.074
01 Andalucía	Gasto medio por persona	Dato base	2022M03	1.230
01 Andalucía	Gasto medio por persona	Dato base	2022M02	1.114
01 Andalucía	Gasto medio por persona	Dato base	2022M01	1.164
01 Andalucía	Gasto medio por persona	Dato base	2021M12	1.326
01 Andalucía	Gasto medio por persona	Dato base	2021M11	1.117
01 Andalucía	Gasto medio por persona	Dato base	2021M10	1.064
01 Andalucía	Gasto medio por persona	Dato base	2021M09	1.048
01 Andalucía	Gasto medio por persona	Dato base	2021M08	1.216
01 Andalucía	Gasto medio por persona	Dato base	2021M07	1.191
01 Andalucía	Gasto medio por persona	Dato base	2021M06	1.027
01 Andalucía	Gasto medio por persona	Dato base	2021M05	982
01 Andalucía	Gasto medio por persona	Dato base	2021M04	1.038
01 Andalucía	Gasto medio por persona	Dato base	2021M03	995
01 Andalucía	Gasto medio por persona	Dato base	2021M02	1.175
01 Andalucía	Gasto medio por persona	Dato base	2021M01	991
01 Andalucía	Gasto medio por persona	Dato base	2020M12	1.335
01 Andalucía	Gasto medio por persona	Dato base	2020M11	1.233
01 Andalucía	Gasto medio por persona	Dato base	2020M10	1.053
01 Andalucía	Gasto medio por persona	Dato base	2020M09	916
01 Andalucía	Gasto medio por persona	Dato base	2020M08	1.062
01 Andalucía	Gasto medio por persona	Dato base	2020M07	978
01 Andalucía	Gasto medio por persona	Dato base	2020M06	709
01 Andalucía	Gasto medio por persona	Dato base	2020M05	0
01 Andalucía	Gasto medio por persona	Dato base	2020M04	0
01 Andalucía	Gasto medio por persona	Dato base	2020M03	1.116
01 Andalucía	Gasto medio por persona	Dato base	2020M02	1.062
01 Andalucía	Gasto medio por persona	Dato base	2020M01	1.109
01 Andalucía	Gasto medio por persona	Dato base	2019M12	1.199
01 Andalucía	Gasto medio por persona	Dato base	2019M11	1.096
01 Andalucía	Gasto medio por persona	Dato base	2019M10	1.065
01 Andalucía	Gasto medio por persona	Dato base	2019M09	988
01 Andalucía	Gasto medio por persona	Dato base	2019M08	1.097
01 Andalucía	Gasto medio por persona	Dato base	2019M07	1.115
01 Andalucía	Gasto medio por persona	Dato base	2019M06	997
01 Andalucía	Gasto medio por persona	Dato base	2019M05	975
01 Andalucía	Gasto medio por persona	Dato base	2019M04	871
01 Andalucía	Gasto medio por persona	Dato base	2019M03	1.049
01 Andalucía	Gasto medio por persona	Dato base	2019M02	991
01 Andalucía	Gasto medio por persona	Dato base	2019M01	1.037
01 Andalucía	Gasto medio por persona	Dato base	2018M12	1.145
01 Andalucía	Gasto medio por persona	Dato base	2018M11	1.058
01 Andalucía	Gasto medio por persona	Dato base	2018M10	1.060
01 Andalucía	Gasto medio por persona	Dato base	2018M09	1.051
01 Andalucía	Gasto medio por persona	Dato base	2018M08	1.073
01 Andalucía	Gasto medio por persona	Dato base	2018M07	1.195
01 Andalucía	Gasto medio por persona	Dato base	2018M06	1.087
01 Andalucía	Gasto medio por persona	Dato base	2018M05	1.028
01 Andalucía	Gasto medio por persona	Dato base	2018M04	960
01 Andalucía	Gasto medio por persona	Dato base	2018M03	1.143
01 Andalucía	Gasto medio por persona	Dato base	2018M02	1.139
01 Andalucía	Gasto medio por persona	Dato base	2018M01	1.110
01 Andalucía	Gasto medio por persona	Dato base	2017M12	1.197
01 Andalucía	Gasto medio por persona	Dato base	2017M11	1.076
01 Andalucía	Gasto medio por persona	Dato base	2017M10	1.102
01 Andalucía	Gasto medio por persona	Dato base	2017M09	1.081
01 Andalucía	Gasto medio por persona	Dato base	2017M08	1.085
01 Andalucía	Gasto medio por persona	Dato base	2017M07	1.180
01 Andalucía	Gasto medio por persona	Dato base	2017M06	1.137
01 Andalucía	Gasto medio por persona	Dato base	2017M05	1.053
01 Andalucía	Gasto medio por persona	Dato base	2017M04	1.050
01 Andalucía	Gasto medio por persona	Dato base	2017M03	1.130
01 Andalucía	Gasto medio por persona	Dato base	2017M02	1.016
01 Andalucía	Gasto medio por persona	Dato base	2017M01	1.089
01 Andalucía	Gasto medio por persona	Dato base	2016M12	1.311
01 Andalucía	Gasto medio por persona	Dato base	2016M11	1.040
01 Andalucía	Gasto medio por persona	Dato base	2016M10	1.104
01 Andalucía	Gasto medio por persona	Dato base	2016M09	1.061
01 Andalucía	Gasto medio por persona	Dato base	2016M08	1.043
01 Andalucía	Gasto medio por persona	Dato base	2016M07	1.049
01 Andalucía	Gasto medio por persona	Dato base	2016M06	1.087
01 Andalucía	Gasto medio por persona	Dato base	2016M05	1.047
01 Andalucía	Gasto medio por persona	Dato base	2016M04	1.025
01 Andalucía	Gasto medio por persona	Dato base	2016M03	1.054
01 Andalucía	Gasto medio por persona	Dato base	2016M02	987
01 Andalucía	Gasto medio por persona	Dato base	2016M01	1.122
01 Andalucía	Gasto medio por persona	Dato base	2015M12	1.240
01 Andalucía	Gasto medio por persona	Dato base	2015M11	1.087
01 Andalucía	Gasto medio por persona	Dato base	2015M10	1.053
04 Balears, Illes	Gasto medio por persona	Dato base	2025M10	1.330
04 Balears, Illes	Gasto medio por persona	Dato base	2025M09	1.300
04 Balears, Illes	Gasto medio por persona	Dato base	2025M08	1.544
04 Balears, Illes	Gasto medio por persona	Dato base	2025M07	1.493
04 Balears, Illes	Gasto medio por persona	Dato base	2025M06	1.251
04 Balears, Illes	Gasto medio por persona	Dato base	2025M05	1.171
04 Balears, Illes	Gasto medio por persona	Dato base	2025M04	1.167
04 Balears, Illes	Gasto medio por persona	Dato base	2025M03	1.361
04 Balears, Illes	Gasto medio por persona	Dato base	2025M02	1.168
04 Balears, Illes	Gasto medio por persona	Dato base	2025M01	1.267
04 Balears, Illes	Gasto medio por persona	Dato base	2024M12	1.335
04 Balears, Illes	Gasto medio por persona	Dato base	2024M11	1.409
04 Balears, Illes	Gasto medio por persona	Dato base	2024M10	1.328
