Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M10	1.059.793
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M09	1.033.989
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M08	953.167
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M07	897.011
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M06	952.587
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M05	1.070.622
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M04	990.048
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M03	695.818
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M02	526.182
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2025M01	455.600
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M12	464.561
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M11	595.723
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M10	1.040.217
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M09	1.025.343
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M08	947.991
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M07	875.160
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M06	908.332
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M05	1.074.016
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M04	979.158
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M03	735.543
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M02	553.058
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2024M01	471.847
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M12	459.144
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M11	565.192
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M10	992.345
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M09	984.701
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M08	915.299
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M07	834.062
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M06	841.096
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M05	963.125
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M04	872.429
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M03	614.154
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M02	423.258
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2023M01	383.406
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M12	359.520
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M11	418.162
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M10	817.904
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M09	887.132
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M08	802.011
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M07	752.937
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M06	779.523
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M05	829.183
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M04	702.483
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M03	452.199
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M02	306.290
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2022M01	232.478
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M12	247.757
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M11	346.747
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M10	575.486
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M09	510.430
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M08	452.405
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M07	360.928
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M06	219.407
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M05	128.453
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M04	57.651
Total Nacional	01 Andalucía		Viajero	Total	Residentes en el Extranjero	2021M03	42.820
