Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	199.951.794
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	183.635.844
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	166.296.356
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	150.452.909
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	166.478.730
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	161.894.301
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	156.789.484
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	149.901.897
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	146.406.094
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	139.135.225
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	137.294.091
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	139.052.618
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	144.494.494
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	145.853.901
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	145.802.256
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	152.247.439
Total Nacional	01 Andalucía	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	149.010.277
